"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",17.8896708472207,-1.63692866172649,0.453209807777318,-3.61185621678068,0.000304013120629367,1
"0610009B22Rik",10.4710086626842,0.475954002495254,0.534042711841636,0.891228345489326,0.372806680625607,1
"0610012G03Rik",40.6139499984543,-0.664355608140875,0.288234692527677,-2.30491202261186,0.0211715011396689,0.160171781744944
"0610030E20Rik",18.1230341380215,-0.120028405021868,0.408173122217622,-0.294062490861104,0.768710152286896,1
"0610039K10Rik",18.879564656979,-0.687627585124358,0.413051681326696,-1.66474951249621,0.0959627403610512,1
"0610040J01Rik",48.5517290082978,0.0498725133452208,0.266022116651292,0.187475064002271,0.851288173102202,0.960401494229679
"1110004F10Rik",18.4418310153506,0.912174876864459,0.408362658339602,2.23373723879003,0.0255003672374819,1
"1110032A03Rik",13.1208921710472,0.148498453515862,0.471664917169776,0.314838878428624,0.752883991008213,1
"1110035H17Rik",17.0670530153732,-0.973175922042692,0.435241609214797,-2.23594413180845,0.0253554309940925,1
"1110038B12Rik",19.9283505595051,1.07229570513976,0.406253186242685,2.63947641877495,0.00830341997289916,1
"1110038F14Rik",8.53039864944967,0.0390316588932186,0.584744447549323,0.0667499435980986,0.946780773697976,1
"1110059E24Rik",23.7261105163431,0.899064898174568,0.368719428879371,2.43834424702557,0.0147547155166578,0.125699521139613
"1110065P20Rik",14.3194755880332,-0.371801926266489,0.463079082882774,-0.802890780451444,0.422037865319879,1
"1600012H06Rik",26.6526913203077,0.359877582210674,0.34854412322039,1.03251656887963,0.301830189855783,0.680749445194079
"1600014C10Rik",9.35363210036612,-0.113922809823969,0.574262911210788,-0.198380929013458,0.842747037366345,1
"1700003D09Rik",20.4471195290218,-1.07264769422949,0.398477887243633,-2.69186253131699,0.00710542264062763,1
"1700017B05Rik",18.4062985570065,0.347847369926567,0.414207420868426,0.83979028960242,0.401025978901139,1
"1700018L02Rik",7.98822089817739,-0.813665613431062,0.618092396449574,-1.3164142094368,0.188035055751251,1
"1700021J08Rik",6.56007569224912,-0.231121582178815,0.7114438011538,-0.324862739409618,0.74528495826935,1
"1700022I11Rik",10.212253105207,-0.0740865441915069,0.537248909609566,-0.137899850267444,0.890319568747489,1
"1700023B13Rik",10.2862366818342,-1.36192235313549,0.57930013691799,-2.35097882141238,0.0187240995459591,1
"1700025G04Rik",10.3893785438781,0.666449723893439,0.551567520146418,1.20828311956535,0.226938379235405,1
"1700034P13Rik",5.53784738200106,0.803642771307594,0.724757554056131,1.10884359439923,0.267497660381718,1
"1700037H04Rik",24.3547296871318,-0.587178733633798,0.372568099565622,-1.57603062183368,0.115018746284611,0.447541907957088
"1700101I11Rik",6.97753926446599,-1.07791754315681,0.675273576235426,-1.59626791435566,0.110428990436483,1
"1700123O20Rik",22.5621462077393,-0.0933518903842277,0.38812324506123,-0.240521255998209,0.809926186926804,0.945617010258303
"1810013L24Rik",38.1012857898622,0.571515780231696,0.293859227844242,1.94486245820609,0.051791534461293,0.287889495005532
"1810014B01Rik",20.0437914782706,0.411198945282657,0.391910890104224,1.04921541009821,0.294078987754646,1
"1810030O07Rik",13.9755751169479,0.450995538897768,0.469405315275657,0.960780639292341,0.3366624752335,1
"1810037I17Rik",40.4648891471946,0.197391921970758,0.292155214961978,0.675640590555423,0.499268863752891,0.821006974437135
"1810049J17Rik",12.0616135898315,-1.55106674370799,0.538126960402177,-2.88234349483024,0.0039472917039153,1
"1810055G02Rik",21.5268436359735,-0.411994491514635,0.394460317161386,-1.04445104764766,0.296276756333343,0.674107228192857
"1810058I24Rik",16.758623121615,0.324935430193724,0.42284863420786,0.768443844692651,0.442223540582079,1
"1810065E05Rik",1480.21368259521,0.496426432887582,0.121235890772269,4.09471510231302,4.22687827146728e-05,0.00150937007643154
"2010001K21Rik",5.26252415009608,-0.253785799532134,0.729178882147576,-0.348043265850876,0.727807690881087,1
"2010003K11Rik",7.16845775919144,-1.12634638587411,0.656519575587343,-1.7156325991749,0.0862293080435544,1
"2010315B03Rik",9.21756732559186,0.0331890350808393,0.561932818553565,0.0590622828655373,0.952902500085876,1
"2200002D01Rik",205.80247564838,-0.465344938418346,0.161625820490256,-2.87914973614256,0.00398748961343084,0.0513639643812256
"2210009P08Rik",5.03755147013554,1.71093024898562,0.816047100161811,2.09660722848763,0.0360283588729547,1
"2210016F16Rik",49.953636728967,-0.192198114609774,0.269659156224901,-0.712744626588823,0.476003796163507,0.811363570379005
"2210016L21Rik",22.3968477923326,-0.0307964947551819,0.370334648925146,-0.0831585563072892,0.933725465828451,0.983216379307807
"2310011J03Rik",35.2658754476577,-0.606775636655322,0.307482332232422,-1.97336748505169,0.0484537093051081,0.276416408391729
"2310022A10Rik",10.9952701497526,-0.0243027788677587,0.514252395502773,-0.0472584650655802,0.962307231148411,1
"2310022B05Rik",48.9958315584424,-0.0321050151728677,0.258641900234934,-0.124129211638584,0.901212969474705,0.973710164922701
"2310030G06Rik",6.40571194815703,0.298533234599712,0.68500281833974,0.435813147927297,0.662972303707262,1
"2310033P09Rik",9.23179337475609,-0.178208252044717,0.55840475139472,-0.319138136986851,0.749621765358425,1
"2310039H08Rik",13.6722372038257,-0.455361891750276,0.466123850664695,-0.976911803806924,0.328612817549021,1
"2310061I04Rik",38.6278353139756,-0.106945044895219,0.303252101418486,-0.352660523686317,0.72434295768574,0.917132960737371
"2410002F23Rik",7.53099977619746,0.176928565485628,0.620803232426317,0.284999426942623,0.775644580961293,1
"2410004B18Rik",7.24085611213633,-0.339622665703287,0.629932800420748,-0.539141104378824,0.589789495084185,1
"2410006H16Rik",16.5245880689,1.23824457377741,0.841779216358736,1.47098496816499,0.141295182098972,1
"2510002D24Rik",9.58384453288745,-0.355822041275585,0.569336302178759,-0.624976907170528,0.531986214537349,1
"2510009E07Rik",22.7695681727634,-0.368052814156776,0.367467894931348,-1.00159175599691,0.316540804237114,0.690612226413688
"2510039O18Rik",117.045658399503,-0.341743628712294,0.209298487167852,-1.63280505911265,0.102510002721433,0.42032081057727
"2610008E11Rik",5.23992690550508,0.123139834942279,0.775102879986383,0.158869019999567,0.873772069120032,1
"2610035D17Rik",11.8769472557923,-0.156742366835464,0.505691326355437,-0.309956605277612,0.756593956212132,1
"2610206C17Rik",8.43134500689373,-0.584771578713796,0.58050075809347,-1.0073571318569,0.31376318393691,1
"2610528A11Rik",364.300185781728,0.114406766807409,0.17111383879808,0.668600316672302,0.50375047052345,0.823465261136675
"2610528J11Rik",37.5905261172137,-0.0853492027431494,0.3046423268598,-0.280161997260571,0.779353221370739,0.936623036206113
"2810004N23Rik",15.1353449283293,-0.0680381347159675,0.437649374505924,-0.155462657276222,0.876456591150478,1
"2810013P06Rik",6.84380481089309,0.0627917783189971,0.660138994184131,0.09511902625386,0.924220285829219,1
"2810025M15Rik",5.76926520788746,0.0181885039879006,0.6973457920555,0.026082474713568,0.979191555460411,1
"2810459M11Rik",21.8512539217715,-0.421023429056728,0.382130995132049,-1.10177775270818,0.270558304562473,0.655223267486596
"2900026A02Rik",148.995031381056,-0.378846701571479,0.198242288351398,-1.91102869484611,0.0560008934339884,0.301723999615576
"3110040N11Rik",5.58439456926267,-0.764010620841469,0.748570624410888,-1.02062597158783,0.307431679791863,1
"3110082I17Rik",5.57098978929975,-0.0649966382475695,0.738709316358289,-0.0879867585371629,0.929887200479297,1
"3830406C13Rik",8.54948707060475,0.605215115904294,0.59463549710879,1.0177917713405,0.308776923370716,1
"4632415L05Rik",6.40754785322463,-0.441357098823254,0.683132879308188,-0.646077962563036,0.51822886647547,1
"4731419I09Rik",4.92201095065347,-0.278111846042374,0.779320666202276,-0.356864456575554,0.721193279511243,1
"4833420G17Rik",11.8920414688499,0.782411121035092,0.503020032801155,1.55542735878351,0.119844322487211,1
"4833438C02Rik",9.59078982803183,-0.162880504501364,0.569252258923555,-0.286130624776734,0.774778076474812,1
"4833439L19Rik",110.711105888078,-0.073643100759452,0.19325547326966,-0.381066054758997,0.703154234847437,0.909051879713372
"4921514A10Rik",5.34265835606295,-0.61262566107925,0.774664298548179,-0.790827281220252,0.429044787739976,1
"4921516A02Rik",8.473838962714,-1.62450421709119,0.634589842623993,-2.55992785887332,0.0104693893631416,1
"4930404A12Rik",5.9557579388039,0.0957634303943242,0.698373745044576,0.137123468735515,0.89093320231762,1
"4930453N24Rik",12.5332950186376,-0.293910716901092,0.481527174972215,-0.610372025043137,0.541615395221208,1
"4930458D05Rik",5.44876114654209,-1.08165454849139,0.757622832763538,-1.42769528809725,0.153379582997697,1
"4930473A02Rik",5.17578569718631,-1.35341142215115,0.785479300482652,-1.72303894108925,0.0848814832598866,1
"4930523C07Rik",8.90890901599785,0.967647366612825,0.600488965471885,1.61143238635936,0.107085513099964,1
"4930524O07Rik",16.7933054799967,0.0445376080975799,0.417725515913573,0.106619314360473,0.915090995283165,1
"4930597O21Rik",7.89232365960283,-0.0666985433005222,0.606137183709236,-0.11003869271369,0.912378688875473,1
"4931406C07Rik",203.919590914431,-0.00446964692981693,0.194705352195937,-0.0229559530819626,0.98168540802925,0.994375057827833
"4931414P19Rik",6.54674357824813,-0.522347567285073,0.702763084523037,-0.743276900549761,0.457314053697688,1
"4932441J04Rik",4.69860830439237,-1.64656891217162,0.859040629387486,-1.91675324291199,0.0552692876313359,1
"4933431E20Rik",35.1500197780956,-0.998964579567427,0.307811536185778,-3.24537732388466,0.00117295090630351,0.0206805906667638
"4933440N22Rik",9.29580338700066,-1.39379112684128,0.583674426039044,-2.38795990480495,0.0169421900361329,1
"5031425E22Rik",6.48066522124911,-1.61278055045119,0.722210577167886,-2.23311676876242,0.0255412450698656,1
"5031439G07Rik",56.8949201149713,-0.311836573419365,0.24282214643002,-1.2842180089584,0.199065685637033,0.584287726134705
"5730455P16Rik",6.38368167569528,0.288242111296932,0.694798161631316,0.414857331545277,0.678246346929935,1
"6030458C11Rik",14.3407009966684,-0.564568318359241,0.474756152731902,-1.18917535899331,0.234370668817579,1
"6330403L08Rik",9.04732730640605,-0.237208335746956,0.572385423019438,-0.41442064421494,0.678566072598836,1
"6430548M08Rik",65.8606840772546,-0.435723030565365,0.25061839550753,-1.73859157338781,0.0821066298029739,0.369709182241324
"6530413G14Rik",13.0718588184041,-0.406953946751423,0.48339882278042,-0.841859614822188,0.399866538045057,1
"8030462N17Rik",11.3482033364018,-0.111690836842326,0.499165648598231,-0.223755054371186,0.822947904633485,1
"9130016M20Rik",7.85509192677576,0.670043359427801,0.621385896152644,1.07830474360043,0.280897780847914,1
"9130017K11Rik",5.78191023536434,0.009502270115789,0.701484397621189,0.0135459464929117,0.989192228957309,1
"9130023H24Rik",9.23965035414542,-0.492283604282766,0.592862375396059,-0.830350558093518,0.406340610814744,1
"9130024F11Rik",9.47020462483428,-1.19024296737851,0.580791467447407,-2.04934651090806,0.0404282436446707,1
"9130221H12Rik",11.3557304779604,-0.358186594358095,0.509941305993083,-0.702407493075201,0.482425073702422,1
"9530068E07Rik",120.961700268321,0.244941962365392,0.192431719848254,1.27287727074594,0.203061595921041,0.587524884198211
"9530082P21Rik",6.91915096877241,-0.621603891989716,0.649244029271728,-0.957427198347874,0.338351675855923,1
"9830144P21Rik",5.15852293300968,-3.28788573910736,1.0470174014445,-3.14023982273006,0.00168809579339831,1
"9930014A18Rik",16.6716760684332,-0.264946224735155,0.426263939041603,-0.621554394985536,0.534234916516094,1
"9930021J03Rik",22.2943613856066,0.184679317641192,0.388846202882693,0.474941805454394,0.634828452876717,0.885979607632662
"9930104L06Rik",5.83198615531714,-1.0124783668654,0.751088617816952,-1.34801452564702,0.177653710720229,1
"A130010J15Rik",9.42823688538828,-0.424577480145186,0.555003632559866,-0.764999461691611,0.444271865171344,1
"A1cf",12.1651925532889,-0.617739278704978,0.508458393633497,-1.21492591417471,0.224394349064618,1
"A230087F16Rik",8.54327258599392,-0.506828883086658,0.606033224261792,-0.8363054413461,0.402983092796415,1
"A430005L14Rik",11.5308358382401,-0.240315362698934,0.499234733381949,-0.481367474316087,0.630255349186614,1
"A430088P11Rik",6.28859790798017,-0.378427854968041,0.672540059084158,-0.562684482294439,0.573649752770609,1
"A4galt",8.06826044348155,-0.245434391170218,0.592179559946924,-0.414459410237355,0.678537687266882,1
"A4gnt",42.3462679682,-0.832504706258603,0.309605366898891,-2.68892207715016,0.00716831501022651,0.0750345701070463
"A730017L22Rik",6.2714130658936,-0.527793082943673,0.671616631466063,-0.785854694800455,0.431952619232536,1
"A830035O19Rik",6.16897862529331,-0.785877437111827,0.707917499269572,-1.11012573911888,0.266944847227801,1
"A830073O21Rik",8.64367175821991,-0.747365297949506,0.585743347388936,-1.2759262248236,0.201981599650242,1
"AA467197",91.5898160495109,0.376748470167512,0.206522024814324,1.82425322677439,0.068113798073804,0.331640506767838
"AA986860",38.0767521898603,-0.280782416916309,0.325067685512578,-0.863766007604113,0.387716444719474,0.748421881531994
"Aaas",6.72395774083936,0.579140025319767,0.656421812220065,0.882268100386662,0.377631842623525,1
"Aacs",55.5064182108982,0.478255658169856,0.253148826550712,1.88922723714088,0.0588613865708558,0.30749624354886
"Aadac",9.07736330037002,-0.758755237029631,0.587246037224389,-1.29205680231727,0.196337474149751,1
"Aagab",31.8644826387713,0.252226151181102,0.341687695448257,0.738177448415894,0.460406625038693,0.798071845779741
"Aak1",39.955854482372,-0.245494040258102,0.29682343055008,-0.827070962030007,0.408196841667492,0.763773657765589
"Aamdc",19.0765544386793,-0.0728525133396934,0.408297785880132,-0.17842985159141,0.858385407267174,1
"Aamp",86.595631616322,-0.0336613202155412,0.20636114641075,-0.163118497842323,0.870425135684963,0.9672165716678
"Aar2",22.0309661572381,0.450519696002313,0.388099117035648,1.16083669409877,0.245708317443843,0.63422746618539
"Aars",81.1540868506363,-0.217669616311803,0.211274588964302,-1.03026879559369,0.302883842992639,0.68126616833199
"Aars2",11.4793103822479,-0.320390303131422,0.512220641612388,-0.625492760547261,0.531647698349553,1
"Aasdhppt",9.82223473304647,-0.357290125718138,0.562120169467421,-0.635611645205066,0.525029577413529,1
"Aatf",11.0324360044505,0.137322194964318,0.528230743645333,0.259966305665313,0.79488976439937,1
"Aatk",6.30788814218924,-0.837310542496999,0.711539936385554,-1.1767583232929,0.239291981578149,1
"Abat",96.3758030563853,-0.45644038346043,0.215277552607082,-2.1202414182658,0.0339856911677604,0.223742438236294
"Abca1",18.7639148829914,1.00732498009727,0.422951467319415,2.38165618973141,0.0172349801828922,1
"Abca12",59.3144169922796,-0.0101171422426647,0.245125932779311,-0.0412732432181022,0.967078063707266,0.993788679956527
"Abca2",16.0307078931829,-0.579191556955581,0.433096178441075,-1.3373277941181,0.18111566231059,1
"Abca3",73.1778619602894,-0.0631203265629112,0.22291107521437,-0.283163707779927,0.777051347264904,0.936178454253383
"Abca7",38.6855916163293,-0.278150374434271,0.286352578966843,-0.971356274973441,0.331370894379903,0.702505483295243
"Abca8a",11.1333131266878,-1.09517486281984,0.537437815789457,-2.03777038132515,0.0415729017603234,1
"Abca9",6.26648418522646,-0.216674962871712,0.677860745882241,-0.31964524305019,0.749237273239602,1
"Abcb10",33.4080054947406,-0.25201652767567,0.311686528377474,-0.808557652419484,0.418769631555187,0.771851589044162
"Abcb1a",447.672226633148,-0.966892593378917,0.162694515791715,-5.94299438228608,2.79862029492736e-09,3.94745392599505e-07
"Abcb1b",8.53858248190655,-1.48282595370224,0.638215805512997,-2.32339271590171,0.0201580650647053,1
"Abcb7",25.6690839953412,0.360983894443976,0.363404930011598,0.993337912153406,0.320545307716424,0.694669652706207
"Abcb8",40.1250165038858,-0.168240182405606,0.283314151329077,-0.593829082015005,0.552626435682988,0.846580797102102
"Abcb9",12.9298763640937,-0.830289878086655,0.497177822003076,-1.6700058637803,0.0949182034571222,1
"Abcc1",25.4036711700474,-0.51570331742972,0.366623252669525,-1.40663014054533,0.15953709075494,0.524233119417223
"Abcc10",18.8869964416003,-0.528541874384575,0.407967509930437,-1.29554893838163,0.195130930652396,1
"Abcc3",243.843458637015,-0.499413397357127,0.15095314026235,-3.30840018623772,0.000938306252004107,0.017188064525348
"Abcc4",10.0946389158116,-0.201753749675829,0.551613021998629,-0.365752332939541,0.714549891677218,1
"Abcc5",12.3650373080764,-0.482079477090183,0.51576666353214,-0.9346852194532,0.349950546288231,1
"Abcc8",6.42980191594117,-0.153804089619824,0.669681509554108,-0.229667517208636,0.818350137727079,1
"Abcc9",27.1032878417002,0.158353727578273,0.334729735781727,0.473079355225056,0.636156564987915,0.885979607632662
"Abcd1",29.5032181005601,0.122365829942035,0.325522126164982,0.375906336640284,0.70698652948803,0.910173125697092
