"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",17.9022502900149,-1.63809998001121,0.456631690454331,-3.58735500460198,0.000334049380044508,NA
"0610009B22Rik",10.4765173078944,0.474558547498404,0.538786874459372,0.880790846983019,0.378431034733485,NA
"0610010F05Rik",9.07113978493618,0.978964586642112,0.640836866066852,1.52763462665705,0.126603279517187,NA
"0610012G03Rik",40.6370920968646,-0.665630041591996,0.290187373108712,-2.29379395271838,0.0218023369532882,0.163561780878254
"0610030E20Rik",18.134938063948,-0.121441354233453,0.411673436192389,-0.294994390108522,0.767998165169007,NA
"0610039K10Rik",18.894109728485,-0.689059261090114,0.416610244743503,-1.65396619450477,0.0981343815921536,NA
"0610040J01Rik",48.5758858123154,0.0486013732339993,0.267807621566842,0.18147867842465,0.855991867425171,0.962187470191498
"1110004F10Rik",18.4495774325471,0.910830518303585,0.411607659219456,2.21286095606389,0.02690723322355,NA
"1110008P14Rik",13.3019558918521,-0.254743944671423,0.476496221746296,-0.53461902329009,0.592913326433964,NA
"1110012L19Rik",7.77473555892799,-0.135986613081317,0.613545627884614,-0.221640586944076,0.824593684383238,NA
"1110032A03Rik",13.1266396767939,0.147267266776735,0.475731049825132,0.309559922209969,0.756895637521752,NA
"1110035H17Rik",17.0786762379113,-0.974775972125676,0.438887381385713,-2.22101617286873,0.0263498660079146,NA
"1110038B12Rik",19.9360741932499,1.07099292974092,0.409502839268198,2.61534921627121,0.0089136268145642,NA
"1110038F14Rik",8.53521793489091,0.0374346800215895,0.590067003079147,0.0634414055119912,0.949415016807482,NA
"1110046J04Rik",5.31755811002172,-0.256255436408352,0.754811080482315,-0.33949612430783,0.734236016263592,NA
"1110051M20Rik",11.0583932440851,-0.558925868086073,0.528341599624335,-1.05788729958702,0.29010682601839,NA
"1110059E24Rik",23.7369060011522,0.897681344416236,0.371644626762467,2.41542936389601,0.0157166705802328,0.13095339583526
"1110059G10Rik",5.08482312882738,0.394653926969723,0.748118861708968,0.527528374392531,0.597826717586267,NA
"1110065P20Rik",14.3280628363164,-0.373363441312203,0.467183075724506,-0.799180151663655,0.424185959196028,NA
"1190007I07Rik",4.30192271951892,-0.0775231313076705,0.835548363788772,-0.0927811419031975,0.926077432959332,NA
"1500009L16Rik",3.77630909652517,0.327542745795409,0.904613352553336,0.362080379281266,0.717291965366926,NA
"1500011B03Rik",4.25618943581796,-0.0758650526971379,0.831673863094219,-0.0912197149191201,0.927318010021085,NA
"1600012H06Rik",26.6653220759767,0.358600612975999,0.351342918108154,1.02065701197828,0.307416968087469,0.684975679688853
