,DSSd00_1,DSSd00_2,DSSd00_3,DSSd07_1,DSSd07_2,DSSd07_3
1700066N21Rik,3,1,2,0,1,1
1700067G17Rik,2,0,0,1,1,1
1700067K01Rik,88,81,85,52,51,53
1700069B07Rik,130,164,151,103,93,52
1700069P05Rik,46,68,53,35,44,36
1700072B07Rik,2,1,1,1,3,3
1700072O05Rik,6,3,2,3,2,0
1700080N15Rik,10,10,4,15,14,17
1700080O16Rik,0,1,1,1,2,0
1700081H04Rik,11,10,3,4,3,5
1700086D15Rik,25,24,31,20,19,11
1700086P04Rik,130,123,158,153,179,147
1700087M22Rik,1,1,1,1,0,0
1700091H14Rik,11,6,10,5,12,9
1700092C17Rik,20,25,29,24,22,22
1700092E16Rik,16,20,11,20,32,19
1700093K21Rik,31,33,33,33,42,37
1700094M23Rik,6,4,3,3,11,3
1700094M24Rik,2,3,0,0,1,0
1700095J12Rik,36,36,27,28,41,39
1700096J18Rik,38,45,62,47,35,33
1700096K18Rik,1,1,0,1,0,0
1700097N02Rik,4,9,7,6,8,5
1700102F20Rik,38,56,47,51,39,32
1700102P08Rik,0,0,0,0,1,3
1700104L18Rik,32,37,30,24,24,28
1700105G05Rik,4,2,0,1,2,4
1700106O07Rik,156,139,160,186,159,172
1700108N11Rik,45,57,58,63,77,57
1700109H08Rik,12,2,4,10,7,8
1700110C19Rik,5,5,4,5,2,7
1700110K17Rik,1,1,0,0,0,0
1700112D23Rik,1,0,2,0,0,0
1700112M02Rik,93,112,114,92,116,98
1700113B19Rik,5,8,9,4,9,9
1700120C18Rik,6,2,3,8,4,0
1700120G11Rik,9,10,6,5,5,6
1700122D07Rik,0,2,0,0,1,1
1700123K08Rik,1,1,1,1,0,0
1700123O12Rik,15,13,10,13,14,11
1700123O21Rik,0,1,2,2,2,4
1700125H03Rik,21,21,19,24,20,13
1700126G02Rik,2,3,4,2,2,5
1700126H18Rik,2,2,7,4,2,0
1700128F08Rik,39,19,40,17,60,20
1700128I11Rik,18,9,13,9,15,13
1810008B01Rik,2,1,4,3,1,0
1810009A15Rik,1,1,0,0,1,1
1810012K16Rik,0,0,0,2,2,0
1810014P07Rik,29,24,24,33,26,30
1810018F18Rik,0,1,0,1,1,2
1810019N24Rik,45,50,56,98,71,93
1810024B03Rik,38,17,16,37,28,29
1810026B05Rik,53,42,41,48,32,40
1810030O07Rik,1,0,2,0,0,0
1810034E14Rik,15,16,21,17,19,7
1810049I09Rik,1,2,4,0,3,3
1810049J17Rik,143,152,142,147,117,132
1810053B23Rik,71,45,57,57,55,66
1810059H22Rik,1,2,2,3,4,1
1810062O18Rik,1,0,1,2,1,1
1810065E05Rik,8,13,16,8,10,6
2010003K11Rik,2,0,0,0,2,0
2010010A06Rik,19,16,12,14,15,15
2010103J01Rik,6,9,14,7,14,11
2010106G04Rik,53,56,57,59,66,63
2010109A12Rik,103,104,116,119,106,90
2010109P13Rik,1,0,0,1,0,0
2010110K18Rik,8,4,7,7,10,14
2010300C02Rik,0,2,2,3,3,0
2010308F09Rik,20,19,15,27,15,15
2200002J24Rik,1,0,0,1,2,1
2200007N16Rik,45,49,39,47,32,58
2210010C04Rik,72,105,106,97,108,74
2210011K15Rik,4,5,3,3,2,3
2300002M23Rik,7,7,8,4,5,7
2300003K06Rik,17,9,14,9,16,19
2310003L06Rik,0,1,0,0,1,0
2310003N18Rik,2,1,1,0,1,1
2310005E17Rik,5,7,4,8,8,6
2310008N11Rik,1,0,0,3,0,1
2310009B15Rik,1,1,0,0,0,0
2310015A16Rik,185,169,193,188,192,177
2310016D23Rik,27,31,25,30,34,35
2310030G06Rik,7,8,9,14,14,14
2310033P09Rik,59,72,71,67,72,61
2310034G01Rik,1,0,0,1,0,0
2310040G07Rik,42,34,37,28,14,15
2310043P16Rik,2,1,3,4,2,2
2310046K23Rik,37,45,31,34,42,42
2310057J18Rik,0,1,0,1,0,1
2310057N15Rik,3492,3510,4138,3422,3674,4481
2310061N02Rik,44,56,52,52,60,48
2310074N15Rik,0,0,1,1,1,0
2310081O03Rik,3,3,1,2,1,2
2400006E01Rik,0,2,3,0,0,1
2410018L13Rik,46,35,42,31,32,40
2410022M11Rik,0,1,1,0,0,0
2410131K14Rik,4,6,8,2,5,3
2410137M14Rik,4,2,6,6,6,6
2500002B13Rik,1,6,0,2,7,1
2510002D24Rik,78,61,71,105,77,89
2510009E07Rik,3,6,3,1,0,1
2510016D11Rik,1,4,2,0,6,2
2510039O18Rik,12,12,10,13,15,12
2600002D14Rik,28,23,35,33,22,12
2600006K01Rik,17,26,22,22,23,21
2610011E03Rik,5,9,7,3,2,1
2610017A05Rik,87,99,111,97,101,100
2610021A01Rik,24,36,46,27,26,28
2610301B20Rik,12,6,15,13,13,17
2610528A11Rik,3,2,8,3,4,2
2700029L08Rik,5,3,9,14,12,9
2700038G22Rik,3,5,5,9,1,4
2700046A07Rik,3,2,0,6,6,2
2700054A10Rik,56,59,46,51,46,56
2700069I18Rik,10,5,13,7,6,7
2700078F05Rik,1,4,5,4,6,3
2700089I24Rik,35,27,38,47,40,38
2810002D19Rik,96,96,99,121,138,121
2810004N23Rik,37,37,37,34,36,31
2810013P06Rik,24,25,28,29,26,34
2810025M15Rik,10,8,6,13,9,3
2810029C07Rik,36,28,35,23,19,11
2810030D12Rik,27,35,31,19,15,24
2810032G03Rik,30,30,14,20,20,26
2810039B14Rik,25,35,33,29,50,56
2810049E08Rik,10,3,9,0,8,8
2810404F17Rik,4,2,1,1,2,1
2810405F15Rik,24,19,21,31,26,31
2810442N19Rik,49,47,37,66,52,60
2810455O05Rik,11,10,17,12,16,10
2900002M20Rik,89,69,63,82,90,54
2900005J15Rik,1,2,1,0,0,0
2900009J06Rik,67,52,49,36,56,50
2900022M07Rik,1,1,1,1,1,2
2900060N12Rik,11,5,6,5,3,3
2900072N19Rik,1,1,1,1,1,1
2900076A07Rik,14,9,9,14,19,5
2900079G21Rik,20,20,13,24,18,21
2900097C17Rik,13,11,13,11,16,11
3010001F23Rik,0,1,1,0,0,0
3010003L21Rik,13,21,12,7,10,5
3110009F21Rik,27,27,30,34,38,39
3110015C05Rik,0,0,0,2,0,2
3110056K07Rik,26,28,26,23,26,16
3110062G12Rik,89,65,72,27,19,19
3110080E11Rik,8,7,8,10,8,8
3300005D01Rik,47,21,41,44,29,41
3830406C13Rik,12,6,6,12,11,7
3830408C21Rik,73,69,71,80,107,95
3830422I06Rik,1,1,0,0,1,1
3930402G23Rik,27,18,28,16,23,13
4631405J19Rik,15,6,7,3,7,6
4632404H12Rik,4,6,3,3,2,4
4632411P08Rik,91,112,92,128,116,95
4632432E15Rik,0,0,1,0,1,0
4632433K11Rik,0,1,0,1,0,0
4833407H14Rik,2,0,4,0,3,2
4833411C07Rik,23,30,20,17,18,20
4833412K13Rik,28,21,17,29,26,14
4833418N17Rik,11,12,17,10,10,15
4833419F23Rik,2,2,8,3,8,3
4833419O12Rik,2,2,0,3,5,2
4833420G17Rik,0,0,1,0,1,0
4833421K07Rik,65,53,59,109,114,102
4833438C02Rik,34,55,59,57,43,61
4921501I09Rik,46,61,37,48,40,41
4921511I17Rik,49,38,39,37,47,37
4921513H07Rik,20,12,23,17,26,23
4921513I03Rik,1,0,0,0,1,0
4921513I08Rik,1,2,3,1,3,1
4921516A02Rik,1,0,0,1,0,0
4921517D22Rik,19,23,12,19,33,26
4921521D15Rik,75,60,45,50,45,46
4921523L03Rik,1,2,0,0,0,0
4921527H02Rik,22,15,18,22,17,16
4921531C22Rik,0,0,0,1,1,0
4921534A09Rik,3,2,0,3,6,2
4921536K21Rik,7,4,4,9,9,6
4921539E11Rik,3,2,3,1,1,3
4921539H07Rik,15,14,24,21,16,18
4930401C15Rik,112,105,111,133,144,108
4930402D18Rik,94,95,104,96,117,81
4930402K13Rik,13,24,14,21,26,21
4930403P22Rik,1,0,1,0,0,0
4930404H11Rik,151,127,160,183,152,189
4930404H24Rik,0,7,1,0,1,0
4930404K13Rik,19,14,10,14,24,16
4930404O17Rik,4,5,5,10,8,7
4930405A10Rik,22,26,25,28,23,19
4930405A21Rik,48,32,47,43,61,64
4930405D11Rik,113,126,126,121,121,107
4930405H06Rik,3,1,2,4,1,1
4930407I10Rik,25,28,32,22,22,21
4930412B13Rik,6,14,6,9,16,9
4930412C18Rik,1,1,2,0,0,1
4930412F09Rik,39,24,25,32,56,59
4930412L05Rik,65,56,42,44,34,42
4930413G21Rik,19,10,14,13,9,8
4930414N06Rik,0,0,1,7,18,6
4930415H17Rik,1,2,1,1,0,0
4930415P13Rik,25,37,19,27,29,29
4930417O22Rik,0,4,0,1,1,3
4930420G21Rik,156,141,160,133,135,111
4930421C12Rik,0,0,1,0,1,0
