"","DSSd00_1","DSSd00_2","DSSd00_3","DSSd07_1","DSSd07_2","DSSd07_3"
"Abca3",71,66,85,69,79,75
"Abca7",47,37,42,34,39,36
"Abca8a",14,12,19,9,4,9
"Abca9",6,5,9,8,4,6
"Abcb10",39,28,41,37,29,29
"Abcb1a",575,595,586,233,363,348
"Abcb1b",8,19,10,3,6,5
"Abcb7",25,12,30,31,30,29
"Abcb8",43,43,40,37,47,34
"Abcb9",16,19,14,15,8,6
"Abcc1",35,20,34,16,21,28
"Abcc10",17,23,26,13,15,20
"Abcc3",275,285,287,223,221,186
"Abcc4",13,10,9,8,6,15
"Abcc5",20,7,16,11,7,14
"Abcc8",4,9,7,6,8,5
"Abcc9",25,24,27,33,28,28
"Abcd1",34,25,25,29,37,30
"Abcd3",205,154,164,145,213,143
"Abcd4",5,3,12,8,9,9
"Abce1",50,36,47,58,36,41
"Abcf1",91,82,81,86,94,75
"Abcf2",23,20,29,25,20,29
"Abcf3",33,37,35,32,17,23
"Abcg1",5,4,6,21,12,12
"Abcg2",46,32,40,65,49,65
"Abhd11",38,39,36,40,60,44
"Abhd11os",44,44,34,41,48,33
"Abhd12",20,28,21,38,21,28
"Abhd13",54,53,39,64,43,55
"Abhd14a",12,6,11,3,14,13
"Abhd14b",29,29,54,54,62,73
"Abhd16a",50,66,56,42,49,49
"Abhd17a",85,106,84,75,84,55
"Abhd17b",36,36,38,51,54,44
"Abhd17c",72,67,75,79,64,78
"Abhd2",343,370,411,343,402,373
"Abhd3",5,10,2,2,8,6
"Abhd4",59,62,64,78,88,63
"Abhd5",21,20,12,14,22,19
"Abhd6",70,59,61,53,58,40
"Abhd8",20,27,22,19,18,16
"Abi1",70,75,66,85,85,84
"Abi3",76,108,54,33,43,24
"Abitram",10,7,4,5,11,9
"Abl1",113,135,125,82,112,78
"Abl2",20,11,15,20,24,24
"Ablim1",100,76,89,113,70,154
"Ablim2",13,12,10,11,8,11
"Abr",125,144,132,125,121,108
"Abracl",14,13,12,18,21,32
"Abraxas2",15,23,19,23,24,22
"Abt1",17,10,8,10,8,5
"Abtb1",21,21,21,26,28,14
"Acaa1a",80,86,67,77,71,55
"Acaa1b",20,17,10,18,16,10
"Acaa2",116,135,133,110,126,106
"Acaca",25,13,9,12,19,10
"Acacb",55,37,42,24,32,22
"Acad10",11,20,7,5,5,6
"Acad11",49,49,60,85,67,73
"Acad12",5,9,8,7,7,8
"Acad8",25,30,20,23,29,30
"Acad9",21,23,23,25,30,24
"Acadl",95,97,82,127,125,121
"Acadm",93,90,81,94,86,81
"Acads",246,205,196,201,228,173
"Acadsb",21,12,23,21,25,16
"Acadvl",147,146,181,135,177,108
"Acap2",44,39,38,42,61,39
"Acap3",7,13,14,11,10,13
"Acat1",90,86,94,86,102,91
